Indicador;Atual;2024;2023;2022;2021;2020
PL;7.87;6.53;11.31;6.72;7.60;12.80
PSR;0.67;0.53;0.72;0.69;1.52;2.65
PVP;0.96;0.67;0.97;0.90;1.06;1.48
DY;7.78;9.52;10.10;2.86;5.76;2.66
PAYOUT;63.65;53.71;71.23;19.89;62.50;14.09
MARGEM_LIQ;8.45;8.05;6.37;10.30;19.97;20.72
MARGEM_BRUTA;30.41;32.70;30.33;36.23;36.80;-2.98
MARGEM_EBIT;0.00;0.00;5.71;0.00;0.00;
EV_EBIT;9.78;6.96;16.79;6.26;6.87;55.13
P_EBIT;9.04;6.67;15.85;5.89;6.29;51.98
P_ATIVO;-0.41;-0.29;-0.10;-0.08;-0.12;-0.18
P_CAP_GIRO;0.60;0.43;-1.77;1.36;2.81;1.22
VPA;16.58;15.90;15.70;14.99;15.23;16.37
LPA;2.01;1.63;1.35;2.00;2.13;1.89
GIRO_ATIVOS;0.11;0.10;0.12;0.11;0.07;0.06
ROE;12.14;10.24;8.60;13.37;13.98;11.55
ROIC;8.85;9.65;3.56;13.37;15.14;-8.55
ROA;0.98;0.85;0.75;1.18;1.44;1.21
PATR_ATIVOS;0.08;0.08;0.09;0.09;0.10;0.10
PASSIVOS_ATIVOS;0.92;0.92;0.91;0.76;1.05;1.05
LIQ_CORRENTE;1.19;1.18;0.79;8.86;5.16;11.43
CAGR_RECEITA_5A;25.87;16.71;14.80;8.37;-8.81;-6.97
CAGR_LUCRO_5A;5.47;-4.93;-2.84;4.15;2.66;-1.93
