Indicador;Atual;2024;2023;2022;2021;2020
PL;8.99;6.19;8.23;6.96;6.74;13.97
PSR;1.01;0.76;0.87;0.73;0.92;1.52
PVP;1.83;1.15;1.43;1.23;1.15;1.79
DY;12.99;8.97;4.36;4.32;4.76;4.67
PAYOUT;112.60;53.96;33.94;25.34;24.84;63.86
MARGEM_LIQ;11.26;12.25;10.57;10.48;13.68;10.87
MARGEM_BRUTA;34.81;40.48;39.76;40.78;64.58;57.67
MARGEM_EBIT;0.00;0.00;0.00;0.00;0.00;
EV_EBIT;8.34;5.72;7.46;5.89;4.48;53.74
P_EBIT;7.98;5.34;6.86;5.51;4.27;50.46
P_ATIVO;-2.14;-1.40;-0.11;-0.09;-0.09;-0.13
P_CAP_GIRO;0.72;0.48;-1.13;5.85;4.05;5.71
VPA;20.08;23.42;20.13;17.77;16.65;15.64
LPA;4.09;4.35;3.50;3.14;2.83;2.00
GIRO_ATIVOS;0.13;0.12;0.12;0.12;0.09;0.09
ROE;20.37;18.57;17.41;17.68;17.01;12.79
ROIC;20.86;19.04;17.81;18.30;18.04;-3.12
ROA;1.51;1.48;1.33;1.32;1.37;0.75
PATR_ATIVOS;0.07;0.08;0.07;0.07;0.08;0.07
PASSIVOS_ATIVOS;0.92;0.92;0.92;0.04;0.03;0.04
LIQ_CORRENTE;1.25;1.24;0.40;;;
CAGR_RECEITA_5A;17.48;11.68;18.99;13.63;2.26;6.04
CAGR_LUCRO_5A;24.37;8.66;5.73;5.76;5.21;-10.45
