Indicador;Atual;2024;2023;2022;2021;2020
PL;5.32;13.88;4.03;1.92;3.71;52.31
PSR;0.84;1.03;0.98;0.56;0.87;1.37
PVP;0.98;1.39;1.32;0.99;1.02;1.21
DY;13.89;19.73;18.47;59.41;18.40;0.81
PAYOUT;60.96;278.99;79.30;103.29;68.31;93.85
MARGEM_LIQ;15.77;7.46;24.34;29.37;23.56;2.61
MARGEM_BRUTA;48.15;50.21;52.72;52.10;48.52;45.56
MARGEM_EBIT;36.52;35.37;49.91;56.52;60.50;39.67
EV_EBITDA;4.00;4.71;2.82;1.56;2.37;6.46
EV_EBIT;5.51;5.96;3.81;1.93;3.08;14.05
P_EBITDA;2.30;2.93;1.97;1.00;1.44;3.45
P_EBIT;3.17;3.70;2.65;1.23;1.88;7.49
P_ATIVO;-0.39;-0.51;-0.56;-0.44;-0.49;-0.44
P_CAP_GIRO;-12.50;-8.52;-73.35;-532.25;11.87;61.66
VPA;32.81;28.40;29.52;28.27;30.05;23.93
LPA;6.01;2.84;9.67;14.61;8.28;0.55
GIRO_ATIVOS;0.41;0.44;0.49;0.66;0.47;0.28
ROE;18.33;10.00;32.75;51.68;27.54;2.30
ROIC;11.94;16.16;20.05;32.28;23.28;6.19
ROA;6.43;3.29;11.91;19.35;11.02;0.63
DIV_LIQ_EBITDA;1.75;1.88;0.89;0.62;0.97;3.04
DIV_LIQ_EBIT;2.41;2.38;1.20;0.76;1.26;6.62
DIV_BRUTA_PATR;0.89;1.02;0.80;0.77;0.85;1.27
PATR_ATIVOS;0.35;0.33;0.36;0.37;0.40;0.31
PASSIVOS_ATIVOS;0.65;0.67;0.64;0.63;0.60;0.68
LIQ_CORRENTE;0.82;0.69;0.96;1.00;1.25;1.04
CAGR_RECEITA_5A;12.55;10.18;7.91;17.72;9.88;-3.29
CAGR_LUCRO_5A;65.67;-2.01;36.21;246.76;;
